Title,IMDB rating,IMDB votes,Genres,Audience Score,Critic Score,Critics Reviews,Audience Reviews,Streaming Platforms
House of Wax,5.5,134049,"Horror, Thriller",43%,28%,163 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Pet Sematary: Bloodlines,4.6,11249,"Fantasy, Horror",41%,22%,58 Reviews,250+ Ratings,"vudu, amazon-prime-video-us, paramount-plus-us"
The Birds,7.6,204618,"Drama, Horror, Mystery, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
A Nightmare on Elm Street: The Dream Child,5,50698,"Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Dead Zone,7.2,77354,"Drama, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
After the Flood,6.2,1754,Thriller,,,Reviews,,
Jack Frost,5.4,40952,"Comedy, Drama, Family, Fantasy",,,Reviews,,
The Thing,8.2,466963,"Horror, Mystery, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Ghost Project,3.3,236,"Fantasy, Horror, Sci-Fi",,,Reviews,,"vudu, amazon-prime-video-us"
Watcher,6.3,42555,"Drama, Thriller",28%,11%,92 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
Army of the Dead,5.8,188344,"Action, Crime, Drama, Horror, Sci-Fi, Thriller, War",14%,,Reviews,250+ Ratings,amazon-prime-video-us
Women in Cellblock 9,4.3,1043,"Action, Crime, Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Orphanage,7.4,163655,"Drama, Horror, Mystery, Thriller",86%,87%,180 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
A Nightmare on Elm Street 4: The Dream Master,5.6,61680,Horror,43%,57%,30 Reviews,"100,000+ Ratings","fandango, vudu, amazon-prime-video-us, netflix"
Hell House LLC Origins: The Carmichael Manor,6.2,6613,"Horror, Mystery",82%,87%,15 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Ghostbusters: Afterlife,7,218965,"Adventure, Comedy, Fantasy, Sci-Fi",94%,64%,308 Reviews,"5,000+ Verified Ratings","fandango, vudu, amazon-prime-video-us"
The Exorcist III,6.5,38909,"Drama, Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Wrath of Becky,6.1,11970,"Action, Horror, Thriller",77%,86%,58 Reviews,Fewer than 50 Verified Ratings,"vudu, amazon-prime-video-us, paramount-plus-us"
Spiral,5.2,68338,"Horror, Mystery, Thriller",,,Reviews,,amazon-prime-video-us
The Craft: Legacy,4.6,16520,"Drama, Fantasy, Horror",25%,48%,113 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Malignant,6.2,109301,"Crime, Horror, Mystery",40%,,Reviews,Fewer than 50 Ratings,
Possession,7.3,42913,"Drama, Horror",58%,63%,156 Reviews,"5,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Videodrome,7.2,103054,"Horror, Sci-Fi, Thriller",80%,83%,58 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
Cracked,6.9,2001,"Crime, Drama, Mystery",,,Reviews,,max-us
Dracula Untold,6.2,207728,"Action, Drama, Fantasy, Horror",58%,25%,138 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, netflix"
Paranormal Activity,6.3,256298,"Horror, Mystery",57%,83%,211 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us, max-us"
Antlers,5.9,44550,"Drama, Horror, Mystery",67%,59%,179 Reviews,500+ Verified Ratings,"vudu, amazon-prime-video-us"
Saw V,5.8,137676,"Horror, Thriller",52%,13%,77 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Buffy the Vampire Slayer,8.3,159831,"Action, Drama, Fantasy, Romance",43%,36%,53 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
The Watchers,,,"Fantasy, Horror, Mystery, Thriller",,,Reviews,,
The Invitation,5.3,31528,"Horror, Thriller",69%,90%,115 Reviews,"10,000+ Ratings","peacock, vudu, amazon-prime-video-us"
The Possession of Hannah Grace,5.2,25956,"Horror, Mystery, Thriller",28%,21%,57 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
The Offering,5.3,7005,Horror,,88%,8 Reviews,,
Dreamcatcher,5.5,96487,"Drama, Horror, Sci-Fi, Thriller",35%,28%,181 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Agnes,3.9,1629,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Incident in a Ghostland,6.4,39692,"Drama, Horror, Mystery, Thriller",59%,52%,31 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Good Boy,5.7,1894,"Horror, Thriller",,,Reviews,,
Naruto Shippuden the Movie: Blood Prison,7.1,5865,"Animation, Action, Fantasy, Mystery, Thriller",64%,,Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Escape Room,6.4,141980,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller",20%,,Reviews,250+ Ratings,"peacock, amazon-prime-video-us"
Escape Room: Tournament of Champions,5.7,59568,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller",75%,51%,80 Reviews,500+ Verified Ratings,"vudu, amazon-prime-video-us"
Red Riding Hood,5.4,115816,"Fantasy, Horror, Mystery, Romance, Thriller",,,Reviews,,
The 100,7.6,276303,"Drama, Mystery, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Insidious: Chapter 2,6.5,188861,"Horror, Mystery, Thriller",57%,39%,132 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Jaws 2,5.8,84517,"Adventure, Horror, Thriller",39%,62%,34 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
"As Above, So Below",6.2,111898,"Horror, Mystery, Thriller",100%,,Reviews,100+ Ratings,amazon-prime-video-us
Creature from the Black Lagoon,6.9,34452,"Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Invitation,5.3,31528,"Horror, Thriller",69%,90%,115 Reviews,"10,000+ Ratings","peacock, vudu, amazon-prime-video-us"
Pet Sematary II,4.9,23502,"Fantasy, Horror, Thriller",31%,21%,24 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Unsane,6.4,49946,"Drama, Horror, Mystery, Thriller",59%,80%,235 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
Halloween: Resurrection,3.9,49299,"Horror, Thriller",25%,10%,70 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
Speak No Evil,,,"Drama, Horror, Thriller",7%,,Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Cannibal Holocaust,5.8,61183,"Adventure, Horror",61%,67%,18 Reviews,"25,000+ Ratings","peacock, vudu"
Candyman,5.9,75797,"Horror, Thriller",63%,79%,81 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Dark Parasite,2.2,131,Horror,,,Reviews,,vudu
The Descent,7.2,247075,"Adventure, Horror, Thriller",76%,87%,189 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us, hulu"
Suspiria,6.7,92374,"Drama, Fantasy, Horror, Mystery, Thriller",72%,65%,334 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
The Faculty,6.6,135172,"Horror, Mystery, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
I Spit on Your Grave: Vengeance Is Mine,5.1,15558,"Horror, Thriller",27%,,Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
The Others,7.6,393397,"Horror, Mystery, Thriller",,,Reviews,,
Hostel: Part II,5.5,96035,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
47 Meters Down,5.6,60939,"Horror, Mystery, Thriller",35%,53%,158 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
The Final Conflict,5.5,22800,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Truth or Dare,5.2,63387,"Horror, Thriller",58%,,Reviews,"1,000+ Ratings",
Eight Legged Freaks,5.5,60244,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",33%,48%,145 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Synchronic,6.2,40232,"Drama, Horror, Mystery, Sci-Fi, Thriller",76%,79%,160 Reviews,100+ Verified Ratings,"peacock, vudu, amazon-prime-video-us"
The Fog,6.8,83047,"Horror, Thriller",,,Reviews,,
Clown,5.7,26320,"Horror, Thriller",33%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
Godzilla vs. Biollante,6.5,6788,"Action, Fantasy, Horror, Sci-Fi, Thriller",72%,71%,7 Reviews,"5,000+ Ratings",
Out of Darkness,5.5,3803,"Horror, Thriller",,,Reviews,,
The Blair Witch Project,6.5,285741,"Horror, Mystery",57%,86%,171 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
The Crow,,,"Action, Crime, Fantasy, Horror, Romance, Thriller",90%,84%,63 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us, paramount-plus-us"
The Unholy,5.1,27688,"Drama, Horror, Mystery, Thriller",44%,25%,8 Reviews,250+ Ratings,
Flatliners,6.5,93475,"Drama, Horror, Sci-Fi, Thriller",59%,50%,54 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
Godzilla vs. Destoroyah,6.9,7445,"Action, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Shallows,6.3,143472,"Action, Drama, Horror, Thriller",59%,79%,219 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
Assassination Nation,6,21765,"Action, Comedy, Crime, Drama, Horror, Mystery, Thriller",55%,74%,142 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Vampires,6.1,63779,"Action, Horror, Thriller",,,Reviews,,
Army of Darkness,7.4,194437,"Comedy, Horror",87%,68%,88 Reviews,"100,000+ Ratings","fandango, vudu, amazon-prime-video-us"
The Night the World Ends,3.4,140,Sci-Fi,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Dark Light,4.4,3087,"Action, Horror, Mystery, Sci-Fi, Thriller",16%,,Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Candyman,5.9,75797,"Horror, Thriller",63%,79%,81 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
King Kong,7.2,447082,"Action, Adventure, Romance",50%,84%,268 Reviews,"250,000+ Ratings","peacock, vudu, amazon-prime-video-us, netflix"
The Taking of Deborah Logan,6,40208,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Critters,6.1,39331,"Comedy, Horror, Sci-Fi",45%,50%,48 Reviews,"50,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Terrifier 3,,,Horror,,,Reviews,,
The Boogeyman,5.9,43977,"Horror, Mystery, Thriller",66%,60%,194 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us, hulu"
The Babadook,6.8,247411,"Drama, Horror, Mystery",72%,98%,247 Reviews,"25,000+ Ratings","fandango, vudu, amazon-prime-video-us, hulu, netflix"
Marrowbone,6.7,39537,"Drama, Horror, Mystery, Thriller",70%,49%,74 Reviews,500+ Ratings,"peacock, vudu, amazon-prime-video-us, hulu"
Resurrected,5.4,1149,"Horror, Sci-Fi",54%,40%,5 Reviews,"1,000+ Ratings",
Hidden Figures,7.8,255411,"Biography, Drama, History",93%,93%,325 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, disney-plus-us"
Death Becomes Her,6.6,131436,"Comedy, Fantasy, Horror",61%,55%,56 Reviews,"100,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Anacondas: Trail of Blood,2.9,5732,"Action, Adventure, Horror, Sci-Fi, Thriller",20%,,Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
Brat's Happy Death Day 2U,,,"Short, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Orca,5.7,13294,"Adventure, Drama, Horror, Thriller",,,Reviews,,amazon-prime-video-us
Those Who Call,2.3,217,"Drama, Horror, Mystery",38%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
The Lie,5.8,20308,"Drama, Thriller",48%,74%,19 Reviews,500+ Ratings,amazon-prime-video-us
Trick 'r Treat,6.7,104650,"Comedy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Hills Have Eyes,6.4,183325,"Horror, Thriller",58%,52%,140 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
The Texas Chain Saw Massacre,7.4,183758,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Lord of the Rings: The Return of the King,9,1980246,"Action, Adventure, Drama, Fantasy",86%,94%,280 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us, max-us"
Bride of Frankenstein,7.8,53279,"Drama, Horror, Sci-Fi",87%,98%,51 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
The Conjuring: Last Rites - IMDb,,,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Black Christmas,7.1,48377,"Horror, Mystery, Thriller",38%,14%,65 Reviews,"100,000+ Ratings","peacock, vudu, amazon-prime-video-us"
The Strangers,6.1,143711,"Horror, Mystery, Thriller",48%,49%,164 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us, max-us"
Fear Street: Part Two - 1978,6.7,76361,"Drama, Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Peninsula,5.5,37860,"Action, Horror, Thriller",76%,55%,135 Reviews,100+ Verified Ratings,"vudu, amazon-prime-video-us"
Bram Stoker's Dracula,7.4,238553,"Fantasy, Horror, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Wildling,5.5,14329,"Drama, Fantasy, Horror, Thriller",40%,70%,47 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Run,6.7,95916,"Mystery, Thriller",74%,89%,140 Reviews,"1,000+ Ratings",hulu
Deep Blue Sea 2,3.5,8321,"Action, Horror, Sci-Fi, Thriller",13%,0%,5 Reviews,100+ Ratings,amazon-prime-video-us
New Nightmare,6.4,64228,"Fantasy, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Slither,6.5,88913,"Comedy, Horror, Sci-Fi",63%,87%,142 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Halloween 4: The Return of Michael Myers,5.8,58659,"Horror, Thriller",53%,39%,31 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
All Hallows' Eve,5.2,12388,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Feast of Amrita,5.8,39,"Animation, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Silent Hill,6.5,244134,"Horror, Mystery",63%,33%,107 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, netflix"
Shocker,5.5,17716,"Comedy, Horror, Thriller",31%,30%,27 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
Return of the Living Dead III,5.9,16738,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Hostel: Part III,4.6,35548,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Freddy's Dead: The Final Nightmare,4.7,51017,"Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
I Spit on Your Grave 2,5.7,32897,"Horror, Thriller",30%,0%,8 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
The Amityville Horror,5.9,117375,Horror,52%,31%,45 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Hellraiser: Judgment,4.3,7863,Horror,27%,31%,13 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Beetlejuice Beetlejuice,,,"Comedy, Fantasy, Horror",,,Reviews,,
Paranormal Activity 2,5.7,109904,"Horror, Mystery",48%,57%,137 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us, max-us"
[REC] 4: Apocalypse,5.3,20137,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Leatherface: The Texas Chainsaw Massacre III,,,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Hills Have Eyes 2: Mutant Attacks,6.8,33,"Documentary, Short",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Good Son,6.4,45771,"Drama, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Rape Zombie: Lust of the Dead,3.7,1242,Horror,33%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
Martyrs,7,106512,Horror,69%,65%,40 Reviews,"10,000+ Ratings",vudu
Ghost Ship,5.6,109059,"Horror, Mystery, Thriller",37%,15%,128 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
The Ring Two,5.4,101009,"Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Scary Stories to Tell in the Dark,6.2,85313,"Adventure, Horror, Mystery",72%,77%,234 Reviews,"5,000+ Verified Ratings","vudu, amazon-prime-video-us, netflix"
All Fun and Games,4.3,2514,"Horror, Thriller",38%,38%,8 Reviews,100+ Ratings,"vudu, amazon-prime-video-us, hulu"
Infinity Pool,6,56705,"Crime, Horror, Mystery, Sci-Fi, Thriller",,,Reviews,,amazon-prime-video-us
Velvet Buzzsaw,5.7,66073,"Horror, Mystery, Thriller",36%,61%,197 Reviews,"1,000+ Ratings",netflix
New Life,6.2,173,"Horror, Thriller",26%,33%,9 Reviews,100+ Ratings,amazon-prime-video-us
"I, Frankenstein",5.1,83933,"Action, Fantasy, Sci-Fi",38%,5%,105 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, max-us"
The Human Centipede (First Sequence),4.4,87315,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Breach,2.9,19981,"Action, Horror, Sci-Fi",67%,84%,177 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Camp Pleasant Lake,4.6,1537,Horror,94%,11%,9 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Paranormal Activity: Next of Kin,5.3,16668,"Horror, Mystery, Thriller",37%,30%,47 Reviews,250+ Ratings,"vudu, amazon-prime-video-us, paramount-plus-us"
Rare Exports: A Christmas Tale,6.6,32155,"Adventure, Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
I Spit on Your Grave,6.2,93216,"Horror, Thriller",40%,51%,39 Reviews,"10,000+ Ratings",vudu
Case 39,6.2,93369,"Horror, Mystery, Thriller",39%,21%,77 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
Jaws 3-D,3.7,48255,"Adventure, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Lair,4.6,5340,"Action, Horror, Sci-Fi",33%,35%,20 Reviews,50+ Ratings,"vudu, amazon-prime-video-us, hulu"
Pearl,7,96993,"Drama, Horror, Thriller",,,Reviews,,"vudu, amazon-prime-video-us"
A Cure for Wellness,6.4,109682,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",42%,42%,212 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
Totally Killer,6.5,50944,"Comedy, Horror",77%,87%,104 Reviews,"1,000+ Ratings",amazon-prime-video-us
Flowers in the Attic,5.7,11274,"Drama, Mystery, Thriller",51%,11%,9 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
Night of the Living Dead,7.8,139201,"Horror, Thriller",87%,95%,84 Reviews,"100,000+ Ratings","peacock, vudu, amazon-prime-video-us"
Doom Patrol,7.7,59755,"Action, Adventure, Comedy, Drama, Mystery, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Damien: Omen II,6.2,35920,Horror,49%,48%,27 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, hulu"
Revenge,7.8,125129,"Drama, Mystery, Thriller",12%,0%,6 Reviews,Fewer than 50 Ratings,
Ma,5.6,59669,"Horror, Mystery, Thriller",50%,92%,13 Reviews,Fewer than 50 Ratings,vudu
Nightbreed,6.5,26434,"Action, Fantasy, Horror",60%,53%,34 Reviews,"10,000+ Ratings","peacock, amazon-prime-video-us"
Mama,6.2,191109,"Fantasy, Horror, Thriller",,,Reviews,,
The Wicker Man,7.5,92365,"Horror, Mystery, Thriller",17%,15%,108 Reviews,"50,000+ Ratings","fandango, vudu, amazon-prime-video-us"
The Hitcher,7.2,52570,"Action, Mystery, Thriller",74%,64%,39 Reviews,"25,000+ Ratings","fandango, max-us"
Piranha 3DD,3.8,45406,"Comedy, Horror, Sci-Fi, Thriller",22%,11%,53 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
Don't Breathe 2,6,71619,"Action, Crime, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Idle Hands,6.2,46773,"Comedy, Fantasy, Horror, Thriller",58%,16%,56 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The Medium,6.5,13132,Horror,80%,,Reviews,50+ Ratings,
Blood Red Sky,6.1,54733,"Action, Drama, Horror, Thriller",58%,81%,32 Reviews,500+ Ratings,netflix
Countdown,5.4,45593,"Horror, Thriller",,,Reviews,,
American Psycho II: All American Girl,3.7,17864,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Battery,6.3,10376,"Adventure, Drama, Horror",67%,80%,10 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Splice,5.8,101804,"Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
We Have a Ghost,6.1,32917,"Adventure, Comedy, Family, Fantasy, Horror, Mystery",62%,42%,74 Reviews,"1,000+ Ratings",netflix
Parasyte: Part 1,6.8,5405,"Action, Drama, Horror, Sci-Fi",73%,,Reviews,100+ Ratings,vudu
Jason Goes to Hell,4.1,36827,"Fantasy, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Lamb,6.3,38443,"Drama, Fantasy, Horror",,,Reviews,,
Godzilla Raids Again,5.7,8344,"Action, Sci-Fi",36%,64%,11 Reviews,500+ Ratings,
Crawl,6.1,94076,"Action, Adventure, Horror, Thriller",58%,63%,8 Reviews,250+ Ratings,
The Resort,7.4,11870,"Comedy, Mystery, Thriller",,,Reviews,,
Paranormal Activity: The Ghost Dimension,4.6,30704,"Horror, Mystery",27%,15%,74 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
A Haunted House,5,49907,"Comedy, Fantasy, Horror",51%,10%,52 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The Ninth Gate,6.7,197577,"Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Raised by Wolves,7.4,86633,"Drama, Fantasy, Sci-Fi, Thriller",25%,,Reviews,Fewer than 50 Ratings,vudu
Anaconda,4.9,112059,"Action, Adventure, Horror, Thriller",24%,41%,56 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, netflix"
Green Room,7,139320,"Crime, Drama, Horror, Music, Thriller",54%,40%,10 Reviews,500+ Ratings,
Viking Wolf,5.2,7454,"Horror, Thriller",39%,43%,7 Reviews,100+ Ratings,netflix
Before Night Falls,7.1,26380,"Biography, Drama, Romance",83%,74%,101 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
The Requin,2.6,6724,"Horror, Thriller",6%,19%,16 Reviews,250+ Ratings,"vudu, amazon-prime-video-us, hulu"
The Addiction,6.4,11523,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Vivarium,5.9,74015,"Horror, Mystery, Sci-Fi",39%,72%,155 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us, netflix"
Black Water: Abyss,4.6,6808,"Adventure, Horror, Thriller",22%,42%,38 Reviews,50+ Ratings,"peacock, amazon-prime-video-us"
The Circle,7.2,8281,"Game-Show, Reality-TV",,,Reviews,,amazon-prime-video-us
The Jack in the Box: Awakening,4.4,1533,Horror,15%,,Reviews,Fewer than 50 Ratings,"peacock, vudu, amazon-prime-video-us"
Fear Street: Part One - 1994,6.2,94288,"Drama, Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Goodnight Mommy,5.7,14894,"Crime, Drama, Horror, Mystery, Thriller",66%,85%,147 Reviews,"10,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Eaten Alive,5.5,8711,"Horror, Thriller",30%,35%,17 Reviews,"2,500+ Ratings","peacock, vudu, amazon-prime-video-us"
Species III,4.2,10819,"Horror, Sci-Fi",17%,17%,6 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us, max-us"
The Empty Man,6.2,38671,"Drama, Horror, Mystery, Thriller",61%,76%,29 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Bone Tomahawk,7.1,118086,"Drama, Horror, Western",74%,91%,103 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us, hulu"
Warm Bodies,6.8,243670,"Comedy, Horror, Romance",73%,81%,212 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us, hulu"
The Silence of the Lambs,8.6,1549063,"Crime, Drama, Thriller",95%,95%,153 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Captive State,6,57969,"Action, Horror, Sci-Fi, Thriller",39%,42%,81 Reviews,500+ Ratings,"vudu, amazon-prime-video-us, paramount-plus-us"
Attack on Titan: Part 2,4.7,6036,"Action, Adventure, Fantasy, Horror, Thriller",36%,50%,8 Reviews,"1,000+ Ratings",
Mirrors,6.1,113755,"Horror, Mystery",,,Reviews,,
Bereavement,5,8050,"Crime, Horror, Thriller",29%,44%,18 Reviews,"2,500+ Ratings","peacock, amazon-prime-video-us"
End of Days,5.8,116754,"Action, Fantasy, Horror, Thriller",32%,11%,103 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
The Wailing,7.4,82079,"Drama, Horror, Mystery, Thriller",82%,99%,86 Reviews,"5,000+ Ratings","peacock, vudu, amazon-prime-video-us, netflix"
Alone,6.2,28672,"Drama, Mystery, Thriller",58%,,Reviews,250+ Ratings,
The Possession,5.9,63236,"Horror, Mystery, Thriller",48%,39%,101 Reviews,"50,000+ Ratings","peacock, vudu, amazon-prime-video-us"
Wyrmwood: Apocalypse,5.4,3329,"Action, Horror",52%,88%,24 Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Night at the Eagle Inn,4,642,"Horror, Mystery, Thriller",35%,83%,12 Reviews,Fewer than 50 Ratings,vudu
Friday the 13th Part 2,6.1,77797,"Horror, Mystery, Thriller",48%,33%,46 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Wrong Turn 6: Last Resort - Inheritance,5.5,21,"Short, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Fly II,5.1,24712,"Drama, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Spawn,5.2,72309,"Action, Crime, Drama, Fantasy, Horror",36%,17%,47 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Eastbound & Down,8.2,64167,"Comedy, Drama, Sport",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Freaky,6.3,72491,"Comedy, Horror, Thriller",80%,83%,251 Reviews,500+ Verified Ratings,"peacock, vudu, amazon-prime-video-us"
The Uninvited,8.3,40,"Comedy, Drama",17%,,Reviews,100+ Ratings,
